2015-07-01 10:26:50,474 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/gigaspaces-xap-premium-9.5.1-ga/logs/2015-07-01~10.26-gigaspaces-service-192.168.0.40-15674.log
-------------------------last log tuples start--------------------------------
-------------------------last log tuples end----------------------------------
[CTAH] started agent 10
[CTAH] Added a new agent to the game by the name of 10.
[ENV] added agent a10
[CTAH] started agent 30
[CTAH] Added a new agent to the game by the name of 30.
[ENV] added agent a30
[CTAH] started agent 40
[CTAH] Added a new agent to the game by the name of 40.
[ENV] added agent a40
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is Setup Phase
setPhases in ClientGameStatus, the current phase is Setup Phase
setPhases in ClientGameStatus, the current phase is Setup Phase
object notification: Tile [id=null, cell=Cell [x=0, y=0], subject=brown, time=2015-07-01 10:28:14.365, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=3], subject=brown, time=2015-07-01 10:28:14.528, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=3], subject=brown, time=2015-07-01 10:28:14.528, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=2], subject=blue, time=2015-07-01 10:28:14.526, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=3], subject=brown, time=2015-07-01 10:28:14.528, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=4], subject=yellow, time=2015-07-01 10:28:14.531, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=3], subject=brown, time=2015-07-01 10:28:14.528, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=4], subject=yellow, time=2015-07-01 10:28:14.531, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=4], subject=yellow, time=2015-07-01 10:28:14.531, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=5], subject=brown, time=2015-07-01 10:28:14.535, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=4], subject=yellow, time=2015-07-01 10:28:14.531, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=white, time=2015-07-01 10:28:14.544, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=5], subject=brown, time=2015-07-01 10:28:14.535, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=white, time=2015-07-01 10:28:14.544, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=brown, time=2015-07-01 10:28:14.547, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=yellow, time=2015-07-01 10:28:14.551, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=yellow, time=2015-07-01 10:28:14.553, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=5], subject=brown, time=2015-07-01 10:28:14.535, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=brown, time=2015-07-01 10:28:14.547, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-07-01 10:28:14.556, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-07-01 10:28:14.558, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-07-01 10:28:14.56, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=0], subject=white, time=2015-07-01 10:28:14.544, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=1], subject=brown, time=2015-07-01 10:28:14.547, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=yellow, time=2015-07-01 10:28:14.551, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=2], subject=yellow, time=2015-07-01 10:28:14.551, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=yellow, time=2015-07-01 10:28:14.553, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-07-01 10:28:14.563, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-07-01 10:28:14.556, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-07-01 10:28:14.558, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-07-01 10:28:14.56, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-07-01 10:28:14.563, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-07-01 10:28:14.565, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-07-01 10:28:14.569, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-07-01 10:28:14.565, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=3], subject=yellow, time=2015-07-01 10:28:14.553, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-07-01 10:28:14.556, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-07-01 10:28:14.569, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=5], subject=brown, time=2015-07-01 10:28:14.535, clock=0]
object notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-07-01 10:28:14.558, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-07-01 10:28:14.56, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-07-01 10:28:14.563, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-07-01 10:28:14.565, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=0], subject=white, time=2015-07-01 10:28:14.544, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=1], subject=brown, time=2015-07-01 10:28:14.547, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=2], subject=yellow, time=2015-07-01 10:28:14.551, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=3], subject=yellow, time=2015-07-01 10:28:14.553, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=4], subject=yellow, time=2015-07-01 10:28:14.556, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-07-01 10:28:14.573, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=yellow, time=2015-07-01 10:28:14.575, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-07-01 10:28:14.577, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-07-01 10:28:14.579, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-07-01 10:28:14.582, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-07-01 10:28:14.584, clock=0]
org notification: Tile [id=null, cell=Cell [x=1, y=5], subject=brown, time=2015-07-01 10:28:14.558, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-07-01 10:28:14.569, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=0], subject=white, time=2015-07-01 10:28:14.56, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-07-01 10:28:14.573, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=1], subject=brown, time=2015-07-01 10:28:14.563, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=yellow, time=2015-07-01 10:28:14.575, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-07-01 10:28:14.577, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=2], subject=yellow, time=2015-07-01 10:28:14.565, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=3], subject=yellow, time=2015-07-01 10:28:14.569, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-07-01 10:28:14.599, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=white, time=2015-07-01 10:28:14.603, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-07-01 10:28:14.573, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-07-01 10:28:14.604, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-07-01 10:28:14.606, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-07-01 10:28:14.608, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-07-01 10:28:14.61, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-07-01 10:28:14.612, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-07-01 10:28:14.614, clock=0]
org notification: Tile [id=null, cell=Cell [x=2, y=5], subject=yellow, time=2015-07-01 10:28:14.575, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-07-01 10:28:14.577, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-07-01 10:28:14.579, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=4], subject=brown, time=2015-07-01 10:28:14.573, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-07-01 10:28:14.631, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-07-01 10:28:14.582, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-07-01 10:28:14.584, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-07-01 10:28:14.599, clock=0]
org notification: Tile [id=null, cell=Cell [x=3, y=5], subject=white, time=2015-07-01 10:28:14.603, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-07-01 10:28:14.651, clock=0]
object notification: Tile [id=null, cell=Cell [x=2, y=5], subject=yellow, time=2015-07-01 10:28:14.575, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=0], subject=white, time=2015-07-01 10:28:14.577, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-07-01 10:28:14.579, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-07-01 10:28:14.582, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-07-01 10:28:14.584, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=1], subject=white, time=2015-07-01 10:28:14.579, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=2], subject=yellow, time=2015-07-01 10:28:14.582, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=3], subject=white, time=2015-07-01 10:28:14.584, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-07-01 10:28:14.599, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=4], subject=brown, time=2015-07-01 10:28:14.599, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=white, time=2015-07-01 10:28:14.603, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-07-01 10:28:14.604, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-07-01 10:28:14.606, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-07-01 10:28:14.608, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-07-01 10:28:14.604, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-07-01 10:28:14.61, clock=0]
object notification: Tile [id=null, cell=Cell [x=3, y=5], subject=white, time=2015-07-01 10:28:14.603, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-07-01 10:28:14.662, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=0], subject=blue, time=2015-07-01 10:28:14.604, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-07-01 10:28:14.612, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-07-01 10:28:14.606, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=1], subject=blue, time=2015-07-01 10:28:14.606, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-07-01 10:28:14.614, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-07-01 10:28:14.608, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-07-01 10:28:14.664, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-07-01 10:28:14.61, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-07-01 10:28:14.666, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-07-01 10:28:14.631, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=yellow, time=2015-07-01 10:28:14.668, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-07-01 10:28:14.612, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-07-01 10:28:14.651, clock=0]
object notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-07-01 10:28:14.614, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-07-01 10:28:14.662, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=2], subject=yellow, time=2015-07-01 10:28:14.608, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=3], subject=yellow, time=2015-07-01 10:28:14.61, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=4], subject=yellow, time=2015-07-01 10:28:14.612, clock=0]
org notification: Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-07-01 10:28:14.614, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-07-01 10:28:14.631, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-07-01 10:28:14.651, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-07-01 10:28:14.662, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-07-01 10:28:14.664, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-07-01 10:28:14.666, clock=0]
org notification: Tile [id=null, cell=Cell [x=5, y=5], subject=yellow, time=2015-07-01 10:28:14.668, clock=0]
#########################Game Initialized
#########################Game Initialized
AGENT Thread-15: current phase name: Setup Phase
we have 0 goals
we have GoalWeight: 100  DistWeight: -10  ChipWeight: 5  CommWeight: 0 scoring
AGENT Thread-11: current phase name: Setup Phase
we have 0 goals
we have GoalWeight: 100  DistWeight: -10  ChipWeight: 5  CommWeight: 0 scoring
#########################Game Initialized
AGENT Thread-13: current phase name: Setup Phase
we have 0 goals
we have GoalWeight: 100  DistWeight: -10  ChipWeight: 5  CommWeight: 0 scoring
setPhases in ClientGameStatus, the current phase is Norm Phase
setPhases in ClientGameStatus, the current phase is Norm Phase
setPhases in ClientGameStatus, the current phase is Norm Phase
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-07-01 10:28:14.664, clock=0]
object notification: Position [subject=a10, id=null, cell=Cell [x=3, y=2], time=2015-07-01 10:28:14.813, clock=0]
org notification: Position [subject=a10, id=null, cell=Cell [x=3, y=2], time=2015-07-01 10:28:14.813, clock=0]
object notification: Position [subject=a30, id=null, cell=Cell [x=3, y=5], time=2015-07-01 10:28:15.049, clock=0]
object notification: Position [subject=a40, id=null, cell=Cell [x=4, y=3], time=2015-07-01 10:28:15.147, clock=0]
org notification: Group [name=g, ra=a40, type=raaa, clock=0, time=2015-07-01 10:28:17.31]
org notification: Goal [id=null, cell=Cell [x=2, y=3], agent=null, time=2015-07-01 10:28:14.753, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=0], subject=yellow, time=2015-07-01 10:28:14.631, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=1], subject=white, time=2015-07-01 10:28:14.651, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-07-01 10:28:14.666, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=2], subject=white, time=2015-07-01 10:28:14.662, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=yellow, time=2015-07-01 10:28:14.668, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=3], subject=blue, time=2015-07-01 10:28:14.664, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=4], subject=yellow, time=2015-07-01 10:28:14.666, clock=0]
object notification: Tile [id=null, cell=Cell [x=5, y=5], subject=yellow, time=2015-07-01 10:28:14.668, clock=0]
org notification: Position [subject=a20, id=null, cell=Cell [x=0, y=1], time=2015-07-01 10:28:14.943, clock=0]
org notification: Position [subject=a30, id=null, cell=Cell [x=3, y=5], time=2015-07-01 10:28:15.049, clock=0]
org notification: Position [subject=a40, id=null, cell=Cell [x=4, y=3], time=2015-07-01 10:28:15.147, clock=0]
object notification: Obligation [subject=a40, obligation=[surround(2, 3)], sanction=[reduce(g, 700)], deadline=20, time=2015-07-01 10:28:45.744, clock=0]
object notification: Obligation [subject=a10, obligation=[makeMove(3, 2, a10)], sanction=[reduce(a10, 200)], deadline=15, time=2015-07-01 10:28:45.766, clock=0]
object notification: Obligation [subject=a40, obligation=[makeMove(4, 3, a40)], sanction=[reduce(a40, 200)], deadline=15, time=2015-07-01 10:28:45.772, clock=0]
object notification: Obligation [subject=a30, obligation=[makeMove(3, 5, a30)], sanction=[reduce(a30, 200)], deadline=15, time=2015-07-01 10:28:45.77, clock=0]
object notification: Prohibition [subject=a40, prohibition=[restrictPlayer(a40)], sanction=[reduce(a40, 300)], clock=0, time=2015-07-01 10:28:45.775]
object notification: Prohibition [subject=a10, prohibition=[moveTooFast(a10)], sanction=[reduce(a10, 100)], clock=0, time=2015-07-01 10:28:45.786]
object notification: Prohibition [subject=a40, prohibition=[moveTooFast(a40)], sanction=[reduce(a40, 100)], clock=0, time=2015-07-01 10:28:45.799]
object notification: Prohibition [subject=a30, prohibition=[moveTooFast(a30)], sanction=[reduce(a30, 100)], clock=0, time=2015-07-01 10:28:45.796]
org notification: Time [clock=1, time=2015-07-01 10:28:55.743]
object notification: Time [clock=1, time=2015-07-01 10:28:55.743]
object notification: Time [clock=1, time=2015-07-01 10:28:55.743]
object notification: Time [clock=1, time=2015-07-01 10:28:55.743]
object notification: Time [clock=2, time=2015-07-01 10:29:05.75]
org notification: Time [clock=2, time=2015-07-01 10:29:05.75]
object notification: Time [clock=2, time=2015-07-01 10:29:05.75]
object notification: Time [clock=2, time=2015-07-01 10:29:05.75]
object notification: Time [clock=3, time=2015-07-01 10:29:15.752]
object notification: Time [clock=3, time=2015-07-01 10:29:15.752]
org notification: Time [clock=3, time=2015-07-01 10:29:15.752]
object notification: Time [clock=3, time=2015-07-01 10:29:15.752]
