2015-04-28 15:14:13,464 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/gigaspaces-xap-premium-9.5.1-ga/logs/2015-04-28~15.14-gigaspaces-service-128.243.23.149-9992.log
Time [clock=66, time=null]
Time [clock=88, time=null]
Time [clock=132, time=null]
Time [clock=110, time=null]
Time [clock=100, time=null]
Time [clock=102, time=null]
Time [clock=68, time=null]
Time [clock=94, time=null]
Time [clock=120, time=null]
Time [clock=65, time=null]
Time [clock=67, time=null]
Time [clock=99, time=null]
Time [clock=78, time=null]
Time [clock=79, time=null]
Time [clock=108, time=null]
Time [clock=62, time=null]
Time [clock=76, time=null]
Time [clock=83, time=null]
Time [clock=107, time=null]
Time [clock=109, time=null]
Time [clock=33, time=null]
Time [clock=101, time=null]
Time [clock=64, time=null]
Time [clock=51, time=null]
Time [clock=90, time=null]
Time [clock=85, time=null]
Time [clock=84, time=null]
Time [clock=77, time=null]
Time [clock=73, time=null]
Time [clock=32, time=null]
Time [clock=75, time=null]
Time [clock=61, time=null]
Time [clock=72, time=null]
Time [clock=74, time=null]
Time [clock=103, time=null]
Time [clock=59, time=null]
Time [clock=92, time=null]
Time [clock=58, time=null]
Time [clock=60, time=null]
Time [clock=50, time=null]
Time [clock=28, time=null]
Time [clock=63, time=null]
Time [clock=4, time=null]
Time [clock=34, time=null]
Time [clock=89, time=null]
Time [clock=69, time=null]
Time [clock=70, time=null]
Time [clock=71, time=null]
Time [clock=47, time=null]
Time [clock=52, time=null]
Time [clock=57, time=null]
Time [clock=44, time=null]
Time [clock=53, time=null]
Time [clock=56, time=null]
Time [clock=35, time=null]
Time [clock=49, time=null]
Time [clock=45, time=null]
Time [clock=41, time=null]
Time [clock=55, time=null]
Time [clock=54, time=null]
Time [clock=42, time=null]
Time [clock=46, time=null]
Time [clock=23, time=null]
Time [clock=38, time=null]
Time [clock=43, time=null]
Time [clock=30, time=null]
Time [clock=27, time=null]
Time [clock=22, time=null]
Time [clock=29, time=null]
Time [clock=13, time=null]
Time [clock=31, time=null]
Time [clock=25, time=null]
Time [clock=16, time=null]
Time [clock=20, time=null]
Time [clock=7, time=null]
Time [clock=36, time=null]
Time [clock=40, time=null]
Time [clock=14, time=null]
Time [clock=39, time=null]
Time [clock=37, time=null]
Time [clock=9, time=null]
Time [clock=21, time=null]
Time [clock=11, time=null]
Time [clock=7, time=null]
Time [clock=15, time=null]
Time [clock=16, time=null]
Time [clock=48, time=null]
Time [clock=26, time=null]
Time [clock=14, time=null]
Time [clock=8, time=null]
Time [clock=15, time=null]
Time [clock=11, time=null]
Time [clock=1, time=null]
Time [clock=17, time=null]
Time [clock=13, time=null]
Time [clock=18, time=null]
Time [clock=3, time=null]
Time [clock=9, time=null]
Time [clock=24, time=null]
Time [clock=12, time=null]
Time [clock=5, time=null]
Time [clock=10, time=null]
Time [clock=2, time=null]
Time [clock=8, time=null]
Time [clock=19, time=null]
Time [clock=12, time=null]
Time [clock=6, time=null]
Time [clock=5, time=null]
Time [clock=10, time=null]
Time [clock=6, time=null]
-------------------------last log tuples end----------------------------------
[CTAH] started agent 10
[CTAH] Added a new agent to the game by the name of 10.
[ENV] added agent a10
[CTAH] started agent 30
[CTAH] Added a new agent to the game by the name of 30.
[ENV] added agent a30
[CTAH] started agent 40
[CTAH] Added a new agent to the game by the name of 40.
[ENV] added agent a40
object notification: Time [clock=142, time=null]
object notification: Time [clock=142, time=null]
object notification: Time [clock=142, time=null]
org notification: Time [clock=142, time=null]
org notified sent time(142).
Organization notifies object (write): Obligation [subject=g, obligation=[surround(1, 1)], sanction=[reduce(g, 500)], deadline=143, time=2015-04-28 15:14:18.397, clock=0]
Event sent to object      a40 clock(142)
Event sent to object      a10 clock(142)
Event sent to object      a30 clock(142)
Organization notifies object (write): Obligation [subject=a10, obligation=[at(1, 0, a10)], sanction=[reduce(a10, 500)], deadline=143, time=2015-04-28 15:14:18.411, clock=0]
Organization notifies object (write): Obligation [subject=a20, obligation=[at(0, 1, a20)], sanction=[reduce(a20, 500)], deadline=143, time=2015-04-28 15:14:18.413, clock=0]
Organization notifies object (write): Obligation [subject=a30, obligation=[at(2, 1, a30)], sanction=[reduce(a30, 500)], deadline=143, time=2015-04-28 15:14:18.415, clock=0]
object notification: Obligation [subject=a10, obligation=[at(1, 0, a10)], sanction=[reduce(a10, 500)], deadline=143, time=2015-04-28 15:14:18.411, clock=0]
Event sent to object      a10 obligation([at(1, 0, a10)], 143, [reduce(a10, 500)])
Organization notifies object (write): Obligation [subject=a40, obligation=[at(1, 2, a40)], sanction=[reduce(a40, 500)], deadline=143, time=2015-04-28 15:14:18.418, clock=0]
object notification: Obligation [subject=a30, obligation=[at(2, 1, a30)], sanction=[reduce(a30, 500)], deadline=143, time=2015-04-28 15:14:18.415, clock=0]
Event sent to object      a30 obligation([at(2, 1, a30)], 143, [reduce(a30, 500)])
Organization notifies object (write): Prohibition [subject=a10, prohibition=[at(3, 3, a10)], sanction=[reduce(a10, 50)], clock=0, time=2015-04-28 15:14:18.426]
object notification: Obligation [subject=a40, obligation=[at(1, 2, a40)], sanction=[reduce(a40, 500)], deadline=143, time=2015-04-28 15:14:18.418, clock=0]
Event sent to object      a40 obligation([at(1, 2, a40)], 143, [reduce(a40, 500)])
object notification: Prohibition [subject=a10, prohibition=[at(3, 3, a10)], sanction=[reduce(a10, 50)], clock=0, time=2015-04-28 15:14:18.426]
Event sent to object      a10 prohibition([at(3, 3, a10)], [reduce(a10, 50)])
Organization writes: Points [subject=a10, time=2015-04-28 15:14:18.447, clock=142, value=950, id=null]
object notification: Points [subject=a10, time=2015-04-28 15:14:18.447, clock=142, value=950, id=null]
Event sent to object      a10 points(950)
Event processed UpdateClock(142)
Event processed adoptObligation(at(1, 0, a10), 143, reduce(a10, 500))
Event processed UpdateClock(142)
Event processed UpdateClock(142)
Event processed adoptProhibition(at(3, 3, a10), reduce(a10, 50))
Event processed UpdatePoints(950)
Event processed adoptObligation(at(2, 1, a30), 143, reduce(a30, 500))
Event processed adoptObligation(at(1, 2, a40), 143, reduce(a40, 500))
org notification: Time [clock=1, time=null]
org notified sent time(1).
object notification: Time [clock=1, time=null]
Event sent to object      a40 clock(1)
object notification: Time [clock=1, time=null]
object notification: Time [clock=1, time=null]
Event sent to object      a30 clock(1)
Event sent to object      a10 clock(1)
Event processed UpdateClock(1)
Event processed UpdateClock(1)
Event processed UpdateClock(1)
org notification: Time [clock=143, time=null]
org notified sent time(143).
object notification: Time [clock=143, time=null]
Event sent to object      a40 clock(143)
object notification: Time [clock=143, time=null]
Event sent to object      a30 clock(143)
object notification: Time [clock=143, time=null]
Event sent to object      a10 clock(143)
Event processed UpdateClock(143)
Event processed UpdateClock(143)
Event processed UpdateClock(143)
object notification: Time [clock=2, time=null]
object notification: Time [clock=2, time=null]
Event sent to object      a40 clock(2)
Event sent to object      a30 clock(2)
object notification: Time [clock=2, time=null]
Event sent to object      a10 clock(2)
org notification: Time [clock=2, time=null]
org notified sent time(2).
Event processed UpdateClock(2)
Event processed UpdateClock(2)
Event processed UpdateClock(2)
object notification: Time [clock=144, time=null]
object notification: Time [clock=144, time=null]
Event sent to object      a10 clock(144)
Event sent to object      a40 clock(144)
object notification: Time [clock=144, time=null]
Event sent to object      a30 clock(144)
org notification: Time [clock=144, time=null]
org notified sent time(144).
Event processed UpdateClock(144)
Event processed UpdateClock(144)
Organization writes: Points [subject=a10, time=2015-04-28 15:14:38.386, clock=144, value=500, id=null]
Organization writes: Points [subject=a20, time=2015-04-28 15:14:38.388, clock=144, value=500, id=null]
Organization writes: Points [subject=a30, time=2015-04-28 15:14:38.391, clock=144, value=500, id=null]
object notification: Points [subject=a10, time=2015-04-28 15:14:38.386, clock=144, value=500, id=null]
Event sent to object      a10 points(500)
Event processed UpdateClock(144)
Organization writes: Points [subject=a40, time=2015-04-28 15:14:38.395, clock=144, value=500, id=null]
object notification: Points [subject=a30, time=2015-04-28 15:14:38.391, clock=144, value=500, id=null]
Event sent to object      a30 points(500)
object notification: Points [subject=a40, time=2015-04-28 15:14:38.395, clock=144, value=500, id=null]
Event sent to object      a40 points(500)
Event processed UpdatePoints(500)
Event processed UpdatePoints(500)
Event processed UpdatePoints(500)
object notification: Time [clock=3, time=null]
org notification: Time [clock=3, time=null]
org notified sent time(3).
Event sent to object      a40 clock(3)
object notification: Time [clock=3, time=null]
Event sent to object      a30 clock(3)
object notification: Time [clock=3, time=null]
Event sent to object      a10 clock(3)
Event processed UpdateClock(3)
Event processed UpdateClock(3)
Event processed UpdateClock(3)
object notification: Time [clock=145, time=null]
object notification: Time [clock=145, time=null]
Event sent to object      a40 clock(145)
org notification: Time [clock=145, time=null]
Event sent to object      a10 clock(145)
org notified sent time(145).
object notification: Time [clock=145, time=null]
Event sent to object      a30 clock(145)
Event processed UpdateClock(145)
Event processed UpdateClock(145)
Event processed UpdateClock(145)
object notification: Time [clock=4, time=null]
org notification: Time [clock=4, time=null]
org notified sent time(4).
Event sent to object      a40 clock(4)
object notification: Time [clock=4, time=null]
Event sent to object      a30 clock(4)
object notification: Time [clock=4, time=null]
Event sent to object      a10 clock(4)
Event processed UpdateClock(4)
Event processed UpdateClock(4)
Event processed UpdateClock(4)
org notification: Time [clock=146, time=null]
org notified sent time(146).
object notification: Time [clock=146, time=null]
object notification: Time [clock=146, time=null]
Event sent to object      a10 clock(146)
Event sent to object      a40 clock(146)
object notification: Time [clock=146, time=null]
Event sent to object      a30 clock(146)
Event processed UpdateClock(146)
Event processed UpdateClock(146)
Event processed UpdateClock(146)
org notification: Time [clock=5, time=null]
org notified sent time(5).
object notification: Time [clock=5, time=null]
object notification: Time [clock=5, time=null]
Event sent to object      a30 clock(5)
Event sent to object      a10 clock(5)
object notification: Time [clock=5, time=null]
Event sent to object      a40 clock(5)
Event processed UpdateClock(5)
Event processed UpdateClock(5)
Event processed UpdateClock(5)
org notification: Time [clock=147, time=null]
org notified sent time(147).
object notification: Time [clock=147, time=null]
Event sent to object      a30 clock(147)
object notification: Time [clock=147, time=null]
Event sent to object      a10 clock(147)
object notification: Time [clock=147, time=null]
Event sent to object      a40 clock(147)
Event processed UpdateClock(147)
Event processed UpdateClock(147)
Event processed UpdateClock(147)
object notification: Time [clock=6, time=null]
org notification: Time [clock=6, time=null]
org notified sent time(6).
object notification: Time [clock=6, time=null]
Event sent to object      a30 clock(6)
Event sent to object      a40 clock(6)
object notification: Time [clock=6, time=null]
Event sent to object      a10 clock(6)
Event processed UpdateClock(6)
Event processed UpdateClock(6)
Event processed UpdateClock(6)
org notification: Time [clock=148, time=null]
org notified sent time(148).
object notification: Time [clock=148, time=null]
object notification: Time [clock=148, time=null]
Event sent to object      a30 clock(148)
object notification: Time [clock=148, time=null]
Event sent to object      a10 clock(148)
Event sent to object      a40 clock(148)
Event processed UpdateClock(148)
Event processed UpdateClock(148)
Event processed UpdateClock(148)
object notification: Time [clock=7, time=null]
Event sent to object      a40 clock(7)
org notification: Time [clock=7, time=null]
org notified sent time(7).
object notification: Time [clock=7, time=null]
Event sent to object      a30 clock(7)
object notification: Time [clock=7, time=null]
Event sent to object      a10 clock(7)
Event processed UpdateClock(7)
Event processed UpdateClock(7)
Event processed UpdateClock(7)
object notification: Time [clock=149, time=null]
object notification: Time [clock=149, time=null]
Event sent to object      a30 clock(149)
org notification: Time [clock=149, time=null]
org notified sent time(149).
Event sent to object      a40 clock(149)
object notification: Time [clock=149, time=null]
Event sent to object      a10 clock(149)
Event processed UpdateClock(149)
Event processed UpdateClock(149)
Event processed UpdateClock(149)
object notification: Time [clock=8, time=null]
Event sent to object      a40 clock(8)
org notification: Time [clock=8, time=null]
org notified sent time(8).
object notification: Time [clock=8, time=null]
Event sent to object      a30 clock(8)
object notification: Time [clock=8, time=null]
Event sent to object      a10 clock(8)
Event processed UpdateClock(8)
Event processed UpdateClock(8)
Event processed UpdateClock(8)
object notification: Time [clock=150, time=null]
object notification: Time [clock=150, time=null]
Event sent to object      a40 clock(150)
Event sent to object      a10 clock(150)
org notification: Time [clock=150, time=null]
org notified sent time(150).
object notification: Time [clock=150, time=null]
Event sent to object      a30 clock(150)
Event processed UpdateClock(150)
Event processed UpdateClock(150)
Event processed UpdateClock(150)
object notification: Time [clock=9, time=null]
Event sent to object      a40 clock(9)
org notification: Time [clock=9, time=null]
org notified sent time(9).
object notification: Time [clock=9, time=null]
Event sent to object      a10 clock(9)
object notification: Time [clock=9, time=null]
Event sent to object      a30 clock(9)
Event processed UpdateClock(9)
Event processed UpdateClock(9)
Event processed UpdateClock(9)
object notification: Time [clock=151, time=null]
Event sent to object      a10 clock(151)
org notification: Time [clock=151, time=null]
org notified sent time(151).
object notification: Time [clock=151, time=null]
Event sent to object      a40 clock(151)
object notification: Time [clock=151, time=null]
Event sent to object      a30 clock(151)
Event processed UpdateClock(151)
Event processed UpdateClock(151)
Event processed UpdateClock(151)
object notification: Time [clock=10, time=null]
Event sent to object      a40 clock(10)
org notification: Time [clock=10, time=null]
org notified sent time(10).
object notification: Time [clock=10, time=null]
Event sent to object      a10 clock(10)
object notification: Time [clock=10, time=null]
Event sent to object      a30 clock(10)
Event processed UpdateClock(10)
Event processed UpdateClock(10)
Event processed UpdateClock(10)
object notification: Time [clock=152, time=null]
Event sent to object      a10 clock(152)
object notification: Time [clock=152, time=null]
org notification: Time [clock=152, time=null]
org notified sent time(152).
Event sent to object      a40 clock(152)
object notification: Time [clock=152, time=null]
Event sent to object      a30 clock(152)
Event processed UpdateClock(152)
Event processed UpdateClock(152)
Event processed UpdateClock(152)
object notification: Time [clock=11, time=null]
Event sent to object      a40 clock(11)
org notification: Time [clock=11, time=null]
org notified sent time(11).
object notification: Time [clock=11, time=null]
object notification: Time [clock=11, time=null]
Event sent to object      a10 clock(11)
Event sent to object      a30 clock(11)
Event processed UpdateClock(11)
Event processed UpdateClock(11)
Event processed UpdateClock(11)
object notification: Time [clock=153, time=null]
object notification: Time [clock=153, time=null]
org notification: Time [clock=153, time=null]
org notified sent time(153).
Event sent to object      a10 clock(153)
object notification: Time [clock=153, time=null]
Event sent to object      a40 clock(153)
Event sent to object      a30 clock(153)
Event processed UpdateClock(153)
Event processed UpdateClock(153)
Event processed UpdateClock(153)
object notification: Time [clock=12, time=null]
Event sent to object      a40 clock(12)
org notification: Time [clock=12, time=null]
org notified sent time(12).
object notification: Time [clock=12, time=null]
Event sent to object      a30 clock(12)
object notification: Time [clock=12, time=null]
Event sent to object      a10 clock(12)
Event processed UpdateClock(12)
Event processed UpdateClock(12)
Event processed UpdateClock(12)
object notification: Time [clock=154, time=null]
Event sent to object      a40 clock(154)
object notification: Time [clock=154, time=null]
Event sent to object      a10 clock(154)
org notification: Time [clock=154, time=null]
org notified sent time(154).
object notification: Time [clock=154, time=null]
Event sent to object      a30 clock(154)
Event processed UpdateClock(154)
Event processed UpdateClock(154)
Event processed UpdateClock(154)
object notification: Time [clock=13, time=null]
org notification: Time [clock=13, time=null]
org notified sent time(13).
object notification: Time [clock=13, time=null]
Event sent to object      a10 clock(13)
object notification: Time [clock=13, time=null]
Event sent to object      a30 clock(13)
Event sent to object      a40 clock(13)
Event processed UpdateClock(13)
Event processed UpdateClock(13)
Event processed UpdateClock(13)
object notification: Time [clock=155, time=null]
Event sent to object      a10 clock(155)
object notification: Time [clock=155, time=null]
Event sent to object      a40 clock(155)
object notification: Time [clock=155, time=null]
Event sent to object      a30 clock(155)
org notification: Time [clock=155, time=null]
org notified sent time(155).
Event processed UpdateClock(155)
Event processed UpdateClock(155)
Event processed UpdateClock(155)
object notification: Time [clock=14, time=null]
Event sent to object      a40 clock(14)
org notification: Time [clock=14, time=null]
org notified sent time(14).
object notification: Time [clock=14, time=null]
Event sent to object      a30 clock(14)
object notification: Time [clock=14, time=null]
Event sent to object      a10 clock(14)
Event processed UpdateClock(14)
Event processed UpdateClock(14)
Event processed UpdateClock(14)
object notification: Time [clock=156, time=null]
Event sent to object      a10 clock(156)
object notification: Time [clock=156, time=null]
object notification: Time [clock=156, time=null]
Event sent to object      a40 clock(156)
Event sent to object      a30 clock(156)
org notification: Time [clock=156, time=null]
org notified sent time(156).
Event processed UpdateClock(156)
Event processed UpdateClock(156)
Event processed UpdateClock(156)
object notification: Time [clock=15, time=null]
Event sent to object      a40 clock(15)
org notification: Time [clock=15, time=null]
org notified sent time(15).
object notification: Time [clock=15, time=null]
Event sent to object      a30 clock(15)
object notification: Time [clock=15, time=null]
Event sent to object      a10 clock(15)
Event processed UpdateClock(15)
Event processed UpdateClock(15)
Event processed UpdateClock(15)
object notification: Time [clock=157, time=null]
Event sent to object      a40 clock(157)
org notification: Time [clock=157, time=null]
org notified sent time(157).
object notification: Time [clock=157, time=null]
Event sent to object      a10 clock(157)
object notification: Time [clock=157, time=null]
Event sent to object      a30 clock(157)
Event processed UpdateClock(157)
Event processed UpdateClock(157)
Event processed UpdateClock(157)
